address,name,area,confidence,first_call_site,call_count,pseudocode_lines,warning_count,pseudocode_sha256,evidence
0x0015458c,CMemory_TalesROMMap,memory-ppu,medium-high,0x00152e04,1,180,0,622b612de7ef964265b52dd9e458e729d97d31bf5bad2b05917b133b82aa9256,complete R5900 structural decompile
0x00154a24,CMemory_AlphaROMMap,memory-ppu,medium-high,0x00152db4,1,95,0,70b277ec7364e3d0b460859934f436767a6278427b4ab5cc82aecd6213fe0efe,complete R5900 structural decompile
0x00154c2c,CMemory_SuperFXROMMap,memory-ppu,medium-high,0x00152e58,1,132,0,5876e9adbbf0d485bb8fc54daf8915edc0a0c62606c7abaf4b613797e42bb8a0,complete R5900 structural decompile
0x00154f9c,CMemory_SA1ROMMap,memory-ppu,medium-high,0x00152e48,1,147,0,ec932f645931ff895d9f588693550218d92ab7a681ed282d7bad176aa99157a5,complete R5900 structural decompile
0x00155334,CMemory_LoROM24MBSMap,memory-ppu,medium-high,0x00152710,1,144,0,a090b8158c058c190a1cc29b498d1d5563cb56fc70e68436998d490eb235362e,complete R5900 structural decompile
0x0015568c,CMemory_SufamiTurboLoROMMap,memory-ppu,medium-high,0x00152ddc,1,165,0,bb9f989fec83d5aa4758ea301a59aeb7463f6d8840c4967d676e9ae0c613cc1e,complete R5900 structural decompile
0x00155a44,CMemory_SRAM512KLoROMMap,memory-ppu,medium-high,0x00152d24,1,106,0,1619d9df76ad19606d546e8d196a2ba39f204d445822f29b36750ffdaa8c1e38,complete R5900 structural decompile
0x00155ca0,CMemory_BSHiROMMap,memory-ppu,medium-high,0x001531b8,1,180,0,37bf1c2dd199a65fdc8354dcc9f1137e14a366634d04d41f4f56cb57211b6eb8,complete R5900 structural decompile
0x00156118,CMemory_JumboLoROMMap,memory-ppu,medium-high,0x00152df0,1,180,0,a323cad6504e0a33bbe7e2665b8ae66e3416826e47cda30e07adb0e63d4763d5,complete R5900 structural decompile
0x00156514,CMemory_SPC7110HiROMMap,memory-ppu,medium-high,0x001531a8,1,156,0,fc8fb9c91c5ddf91c3f1f4a75fbf951895b52f86458a200032b278839443ae44,complete R5900 structural decompile
0x00156c60,CMemory_ApplyROMFixes,memory-ppu,medium-high,0x00152a04,1,539,0,11da7935b8f97782d3a7d6c4d24f8595bf7e5e6298c930f43c7aab4625e6ed60,complete R5900 structural decompile
0x001584d0,CMemory_CheckForIPSPatch,memory-ppu,medium-high,0x00151528,1,167,0,af80fdafccdc0ae971f58a3f343cdb7defd08b1179baa18afcefa118913ad4d7,complete R5900 structural decompile
0x00158b74,snes_p16_00158b74,memory-ppu,medium-high,0x001abbc8,3,138,0,f81af16e7b6240cecdafda6234796a2aa3ec9d23e95b0f492c0fd8a87e1ef612,complete R5900 structural decompile
0x00159058,snes_p16_00159058,memory-ppu,medium-high,0x0015afe8,3,42,0,097f6bcdbf6b9fa1f0462f7370ae18847af7093bc371ad7443cc3a1adc537c11,complete R5900 structural decompile
0x00159268,snes_p16_00159268,memory-ppu,medium-high,0x0012a204,39,639,0,9439f1f13e685e14ff729b3fe8c89e5559632315f347c119392cbfe84148566b,complete R5900 structural decompile
0x0015a5f0,snes_p16_0015a5f0,memory-ppu,medium-high,0x00129d5c,11,358,0,aaf66c96454d415bc3e5825de11b168f09acdeaf58609c41cb7e48c0aef695d3,complete R5900 structural decompile
0x0015bc70,snes_p16_0015bc70,memory-ppu,medium-high,0x001ab724,3,259,0,ddc03ef9133e169f07ac2c1e093d457fb3eae1ff414a4e938c4a8df63e840bc0,complete R5900 structural decompile
0x0015c124,snes_p16_0015c124,memory-ppu,medium-high,0x00115bc8,1,216,0,c59364c25beffebef8e2e3bfc593c4453356763bb10377af82e0abc6af52bc16,complete R5900 structural decompile
0x0015c624,snes_p16_0015c624,memory-ppu,medium-high,0x00115cec,1,199,0,fa487280626b8f9718d47ee1d34ed644f13155a1a3c44bfdab50033901c8b26e,complete R5900 structural decompile
