address,name,source,prior_status,area,confidence,first_call_site,call_count,pseudocode_lines,warning_count,warning_categories,warning_text,pseudocode_sha256,evidence
0x0014ec54,S9xUpdateScreen,untracked-code-jal,UNTRACKED,renderer,medium,0x00129bf4,36,768,1,global-label-overlap,Globals starting with '_' overlap smaller symbols at the same address,157d96d0a0777c217c237351be6eb67e7d3cac8bd1b14e6efec04c11876c4dec,complete R5900 structural decompile; pinned warnings: global-label-overlap; name validated against Snes9x 1.41 source order and target behavior
0x0015068c,snes_p17_0015068c,untracked-code-jal,UNTRACKED,renderer,medium,0x001514c0,1,158,1,nonreturn-annotation,Subroutine does not return,75fbec85f196048af0c29d69db8623db5e0cbc55e7dbac104b60e9ae092f3e4c,complete R5900 structural decompile; pinned warnings: nonreturn-annotation; address label retained because the historical symbol is unproven
0x001513bc,CMemory_LoadROM,mapped-promotion,IDENTIFIED,memory,medium-high,0x00105364,1,453,0,,,e2d693155d9bad1c87e5136a6e6e3be1a6d596e92d7230c9ad13839e1c7291ef,complete R5900 structural decompile; existing binary-derived mapped name retained
0x00156a04,snes_p17_00156a04,untracked-code-jal,UNTRACKED,memory-ppu,medium,0x00152a88,1,49,1,unreachable-block,"Removing unreachable block (ram,0x00156a68)",780fac94cf22fdf956b0db14f49697f157bbc95fdcf8bd7f1c4d95eb9e58885a,complete R5900 structural decompile; pinned warnings: unreachable-block; address label retained because the historical symbol is unproven
0x0015ad6c,snes_p17_0015ad6c,untracked-code-jal,UNTRACKED,memory-ppu,medium,0x00172a90,6,550,1,global-label-overlap,Globals starting with '_' overlap smaller symbols at the same address,666eaf11172ad168877e3cf603e60ad945c01f1c1a35a1a66c96ab8ebf48c955,complete R5900 structural decompile; pinned warnings: global-label-overlap; address label retained because the historical symbol is unproven
0x0016f2dc,snes_p17_0016f2dc,untracked-code-jal,UNTRACKED,cpu-audio-runtime,medium,0x0015f23c,15,64,1,global-label-overlap,Globals starting with '_' overlap smaller symbols at the same address,cfc21815e8a4ac3a6a8c19c4c97adc74279cf419c66909ca3915202018e8aef3,complete R5900 structural decompile; pinned warnings: global-label-overlap; address label retained because the historical symbol is unproven
0x0016f580,snes_p17_0016f580,untracked-code-jal,UNTRACKED,cpu-audio-runtime,medium,0x0016a1a8,15,63,1,global-label-overlap,Globals starting with '_' overlap smaller symbols at the same address,e8efea94bf65ded3e7a467e756aefcc475a7e4bcba0fa1184e1bf8f52dce7a0b,complete R5900 structural decompile; pinned warnings: global-label-overlap; address label retained because the historical symbol is unproven
0x0016f7f8,snes_p17_0016f7f8,untracked-code-jal,UNTRACKED,cpu-audio-runtime,medium,0x0016a164,15,44,1,global-label-overlap,Globals starting with '_' overlap smaller symbols at the same address,3091e21c2d94dc16965367ce49f076c2c905f573e8af348e36de90d36ae6b717,complete R5900 structural decompile; pinned warnings: global-label-overlap; address label retained because the historical symbol is unproven
0x00170398,snapshot_Freeze,untracked-code-jal,UNTRACKED,cpu-audio-runtime,medium,0x00170258,1,435,4,unreachable-block | global-label-overlap,"Removing unreachable block (ram,0x00170ca8) | Removing unreachable block (ram,0x00170cac) | Removing unreachable block (ram,0x00170d04) | Globals starting with '_' overlap smaller symbols at the same address",3e78053a892fcc27ded835256faf86382896d9d804dbc764c069ec55986813bc,"complete R5900 structural decompile; pinned warnings: unreachable-block, global-label-overlap; name validated against Snes9x 1.41 source order and target behavior"
0x001728d4,snapshot_Unfreeze,untracked-code-jal,UNTRACKED,cpu-audio-runtime,medium-low,0x0017127c,1,691,1,type-propagation,Type propagation algorithm not settling,ee9e4c43aa5102b908c3fa4a264eb14454e07bc7c36b45462e6d3ff3d145fe54,complete R5900 structural decompile; pinned warnings: type-propagation; name validated against Snes9x 1.41 source order and target behavior
