symbol	category	status	target_address	extent_hex	region	sha256	canonical_symbol	evidence	requesters	detail
uRam00447744	named-external	TARGET_RANGE_PROVED	0x00447744	0x1	zero-fill	6e340b9cffb37a989ca544e6bb780a2c78901d3fb33738768511a30617afa01d		target-address+reviewed-consumed-extent	ps2/progress28_structural_lift_recovered.o	exact private-reference range; final placement remains Stage 3G
uRam00447745	named-external	TARGET_RANGE_PROVED	0x00447745	0x1	zero-fill	6e340b9cffb37a989ca544e6bb780a2c78901d3fb33738768511a30617afa01d		target-address+reviewed-consumed-extent	ps2/progress28_structural_lift_recovered.o	exact private-reference range; final placement remains Stage 3G
uRam00447746	named-external	TARGET_RANGE_PROVED	0x00447746	0x1	zero-fill	6e340b9cffb37a989ca544e6bb780a2c78901d3fb33738768511a30617afa01d		target-address+reviewed-consumed-extent	ps2/progress28_structural_lift_recovered.o	exact private-reference range; final placement remains Stage 3G
uRam00447747	named-external	TARGET_RANGE_PROVED	0x00447747	0x1	zero-fill	6e340b9cffb37a989ca544e6bb780a2c78901d3fb33738768511a30617afa01d		target-address+reviewed-consumed-extent	ps2/progress28_structural_lift_recovered.o	exact private-reference range; final placement remains Stage 3G
uRam00447748	named-external	TARGET_RANGE_PROVED	0x00447748	0x1	zero-fill	6e340b9cffb37a989ca544e6bb780a2c78901d3fb33738768511a30617afa01d		target-address+reviewed-consumed-extent	ps2/progress28_structural_lift_recovered.o	exact private-reference range; final placement remains Stage 3G
uRam00447749	named-external	TARGET_RANGE_PROVED	0x00447749	0x1	zero-fill	6e340b9cffb37a989ca544e6bb780a2c78901d3fb33738768511a30617afa01d		target-address+reviewed-consumed-extent	ps2/progress28_structural_lift_recovered.o	exact private-reference range; final placement remains Stage 3G
uRam0044774a	named-external	TARGET_RANGE_PROVED	0x0044774a	0x1	zero-fill	6e340b9cffb37a989ca544e6bb780a2c78901d3fb33738768511a30617afa01d		target-address+reviewed-consumed-extent	ps2/progress28_structural_lift_recovered.o	exact private-reference range; final placement remains Stage 3G
uRam0044774b	named-external	TARGET_RANGE_PROVED	0x0044774b	0x1	zero-fill	6e340b9cffb37a989ca544e6bb780a2c78901d3fb33738768511a30617afa01d		target-address+reviewed-consumed-extent	ps2/progress28_structural_lift_recovered.o	exact private-reference range; final placement remains Stage 3G
uRam0044774c	named-external	TARGET_RANGE_PROVED	0x0044774c	0x1	zero-fill	6e340b9cffb37a989ca544e6bb780a2c78901d3fb33738768511a30617afa01d		target-address+reviewed-consumed-extent	ps2/progress28_structural_lift_recovered.o	exact private-reference range; final placement remains Stage 3G
uRam0044774d	named-external	TARGET_RANGE_PROVED	0x0044774d	0x1	zero-fill	6e340b9cffb37a989ca544e6bb780a2c78901d3fb33738768511a30617afa01d		target-address+reviewed-consumed-extent	ps2/progress28_structural_lift_recovered.o	exact private-reference range; final placement remains Stage 3G
